year,survey,species_code,catchjoin,hauljoin,stratum,numcpue
2012,EBS_SLOPE,10261,NA,-9313,24,0
2016,EBS_SLOPE,10110,NA,-15541,34,0
2016,EBS_SLOPE,21720,NA,-15850,62,0
2016,EBS_SLOPE,21720,NA,-16282,25,0
2016,EBS_SLOPE,21720,NA,-16275,25,0
2016,EBS_SLOPE,21720,NA,-16272,11,0
2016,EBS_SLOPE,10115,NA,-16299,21,0
2016,EBS_SLOPE,10112,-461193,-16269,11,71.38830332633086
2016,EBS_SLOPE,10130,-458480,-16274,21,862.6559681990503
2016,EBS_SLOPE,21740,-430768,-15536,21,121.51022630064546
2016,EBS_SLOPE,21740,NA,-16285,15,0
2016,EBS_SLOPE,10261,NA,-16306,11,0
2002,EBS_SLOPE,10115,1134895,1129985,14,114.61096842554925
2002,EBS_SLOPE,10110,NA,1129980,12,0
2002,EBS_SLOPE,21720,NA,1130051,62,0
2002,EBS_SLOPE,30060,1133486,1130049,61,120.14654875284128
2002,EBS_SLOPE,10261,NA,1130004,55,0
2004,EBS_SLOPE,10110,1233569,1225490,12,39.90307065301535
2004,EBS_SLOPE,10110,1226850,1225506,51,3699.3749633094776
2004,EBS_SLOPE,10130,NA,1225615,14,0
2004,EBS_SLOPE,21740,1225943,1225410,11,5267.135968481459
2004,EBS_SLOPE,21740,1226432,1225616,21,3269.8923521020083
2004,EBS_SLOPE,21740,1229878,1225595,11,1694.1831045992521
2004,EBS_SLOPE,21740,NA,1225608,13,0
2004,EBS_SLOPE,10115,NA,1225473,31,0
2004,EBS_SLOPE,30060,1225702,1225412,12,314.65334739047165
2004,EBS_SLOPE,30060,NA,1225597,12,0
2004,EBS_SLOPE,30060,1233843,1225410,11,101.29107631695112
2004,EBS_SLOPE,30060,NA,1225438,62,0
2004,EBS_SLOPE,10112,NA,1225523,64,0
2004,EBS_SLOPE,10112,NA,1225499,43,0
2004,EBS_SLOPE,21720,NA,1225431,61,0
2004,EBS_SLOPE,21720,NA,1225539,11,0
2004,EBS_SLOPE,10261,NA,1225487,11,0
2004,EBS_SLOPE,10261,NA,1225437,61,0
2004,EBS_SLOPE,10261,NA,1225481,21,0
2008,EBS_SLOPE,10112,-113530,-4620,33,150.4832662607918
2008,EBS_SLOPE,10112,-108215,-4493,12,199.60067888182903
2008,EBS_SLOPE,10112,NA,-4656,11,0
2008,EBS_SLOPE,21740,NA,-4526,24,0
2008,EBS_SLOPE,21740,NA,-4646,12,0
2008,EBS_SLOPE,30060,NA,-4574,61,0
2008,EBS_SLOPE,30060,NA,-4551,61,0
2008,EBS_SLOPE,30060,NA,-4633,32,0
2008,EBS_SLOPE,30060,-107054,-4468,11,332.17144507153665
2008,EBS_SLOPE,10130,NA,-4505,13,0
2008,EBS_SLOPE,10115,-113618,-4623,33,51.74723771951372
2008,EBS_SLOPE,21720,NA,-4646,12,0
2008,EBS_SLOPE,10261,NA,-4528,44,0
2008,EBS_SLOPE,10261,NA,-4623,33,0
2008,EBS_SLOPE,10261,NA,-4523,12,0
2010,EBS_SLOPE,10130,NA,-6493,63,0
2010,EBS_SLOPE,10130,NA,-6518,43,0
2010,EBS_SLOPE,10130,-200253,-7325,12,2024.5046037234688
2010,EBS_SLOPE,21740,NA,-6499,64,0
2010,EBS_SLOPE,21740,-199965,-7319,12,1078.6498381017557
2010,EBS_SLOPE,21740,NA,-7266,11,0
2010,EBS_SLOPE,10115,-197760,-7269,12,105.84140850359512
2010,EBS_SLOPE,10110,-200510,-7330,12,277.6220500354183
2010,EBS_SLOPE,10110,-200153,-7323,12,1074.7815498822854
2010,EBS_SLOPE,30060,-181102,-6504,51,204.5393416083133
2010,EBS_SLOPE,30060,NA,-6544,33,0
2012,EBS_SLOPE,10112,NA,-8774,64,0
2012,EBS_SLOPE,10112,-230939,-8738,23,2206.5109304247176
2012,EBS_SLOPE,10115,NA,-9303,31,0
2012,EBS_SLOPE,10115,-242691,-9289,25,101.39544124068273
2012,EBS_SLOPE,21740,-232271,-8775,61,3035.6779364278264
2012,EBS_SLOPE,21740,NA,-9313,24,0
2012,EBS_SLOPE,30060,-232775,-8788,61,362.2612294188722
2012,EBS_SLOPE,10261,NA,-9301,41,0
2016,EBS_SLOPE,10110,-460140,-16306,11,527.511058138953
2016,EBS_SLOPE,30060,-460667,-16257,12,64.12862663415773
2016,EBS_SLOPE,10115,-447681,-15877,44,61.117054744685035
2016,EBS_SLOPE,10112,-460861,-16261,14,256.66536697741464
2016,EBS_SLOPE,10112,-453540,-15890,12,548.9493423273194
2016,EBS_SLOPE,10130,NA,-15542,35,0
2016,EBS_SLOPE,10130,NA,-16279,22,0
2016,EBS_SLOPE,10130,-459071,-16303,21,724.6138649169657
2016,EBS_SLOPE,21740,-447216,-15866,42,26.243890881470882
2002,EBS_SLOPE,10115,1131536,1129918,22,207.95567175309776
2002,EBS_SLOPE,10110,NA,1129969,24,0
2002,EBS_SLOPE,10130,NA,1129981,14,0
2002,EBS_SLOPE,21740,1130767,1129932,11,149.6107427694624
2002,EBS_SLOPE,21740,NA,1129981,14,0
2002,EBS_SLOPE,30060,NA,1129926,12,0
2004,EBS_SLOPE,10110,1230931,1225553,12,51.647817150199984
2004,EBS_SLOPE,10110,1230417,1225462,12,191.20400396480622
2004,EBS_SLOPE,10130,1230625,1225469,11,4938.391683648133
2004,EBS_SLOPE,10130,NA,1225511,53,0
2004,EBS_SLOPE,10130,NA,1225447,43,0
2004,EBS_SLOPE,21740,NA,1225607,12,0
2004,EBS_SLOPE,21740,NA,1225432,65,0
2004,EBS_SLOPE,21740,NA,1225511,53,0
2004,EBS_SLOPE,21740,1226750,1225583,11,5860.858542680402
2004,EBS_SLOPE,21740,NA,1225536,12,0
2004,EBS_SLOPE,30060,1230303,1225591,12,25.592759009981997
2004,EBS_SLOPE,30060,NA,1225524,63,0
2004,EBS_SLOPE,30060,1235315,1225437,61,53.89515366155051
2004,EBS_SLOPE,10112,1226159,1225607,12,310.44271997493536
2004,EBS_SLOPE,10112,NA,1225581,52,0
2004,EBS_SLOPE,21720,NA,1225444,62,0
2004,EBS_SLOPE,10261,NA,1225587,64,0
2008,EBS_SLOPE,10112,-113214,-4612,52,122.21114174537064
2008,EBS_SLOPE,10112,-112762,-4598,21,71.40491854930197
2008,EBS_SLOPE,10112,-108258,-4494,12,1509.1427864794655
2008,EBS_SLOPE,10110,-111933,-4579,62,459.22603046772673
2008,EBS_SLOPE,10110,NA,-4587,54,0
2008,EBS_SLOPE,30060,NA,-4541,54,0
2008,EBS_SLOPE,30060,-110301,-4539,41,260.29064938898983
2008,EBS_SLOPE,10130,NA,-4502,13,0
2008,EBS_SLOPE,21720,NA,-4597,23,0
2008,EBS_SLOPE,21720,-108479,-4498,11,219.85057196324803
2008,EBS_SLOPE,10261,NA,-4472,12,0
2008,EBS_SLOPE,10261,NA,-4479,12,0
2008,EBS_SLOPE,10261,-106981,-4466,11,92.17763958506052
2010,EBS_SLOPE,10130,-180383,-6488,61,2327.0290238695
2010,EBS_SLOPE,21740,-180612,-6492,61,992.8381733809465
2010,EBS_SLOPE,10112,-196808,-7248,23,1038.9079648157854
2010,EBS_SLOPE,10112,-197069,-7254,13,438.7486460833772
2010,EBS_SLOPE,10110,-182011,-6528,41,3309.816191282129
2010,EBS_SLOPE,10110,-179320,-6460,31,1902.2189383916339
2010,EBS_SLOPE,10110,-199783,-7315,11,21007.32592349789
2010,EBS_SLOPE,30060,-180791,-6496,61,24.320130745022887
2010,EBS_SLOPE,21720,NA,-6471,65,0
2010,EBS_SLOPE,21720,NA,-6497,62,0
2010,EBS_SLOPE,21720,-182015,-6528,41,51.31497970980045
2010,EBS_SLOPE,21720,NA,-7252,22,0
2012,EBS_SLOPE,10112,-242865,-9293,34,24.34492552668177
2012,EBS_SLOPE,10112,-243331,-9306,33,149.6858468289677
2012,EBS_SLOPE,10112,-230636,-8731,14,135.2306372040579
2012,EBS_SLOPE,10112,-230545,-8729,13,593.7064151462423
2012,EBS_SLOPE,21720,-230970,-8739,21,184.02444370396515
2012,EBS_SLOPE,10110,-245558,-9359,13,24.45912557256367
2012,EBS_SLOPE,10130,-231429,-8753,52,1056.5918588463373
2012,EBS_SLOPE,10261,NA,-8794,61,0
2012,EBS_SLOPE,10261,NA,-8805,51,0
2012,EBS_SLOPE,10261,NA,-9312,31,0
2016,EBS_SLOPE,10110,-460511,-16315,12,242.31981873702136
2016,EBS_SLOPE,21720,NA,-15824,62,0
2016,EBS_SLOPE,21720,NA,-16316,12,0
2016,EBS_SLOPE,30060,NA,-15868,42,0
2016,EBS_SLOPE,30060,NA,-16253,12,0
2016,EBS_SLOPE,10115,-460228,-16308,14,24.349799479401288
2016,EBS_SLOPE,10112,NA,-15854,54,0
2016,EBS_SLOPE,10112,-431722,-15563,33,249.7471310298323
2016,EBS_SLOPE,10112,-431606,-15560,32,386.2813929163553
2016,EBS_SLOPE,10130,-447342,-15869,41,3830.4247511103345
2016,EBS_SLOPE,10130,-431411,-15554,41,133.43337871550804
2016,EBS_SLOPE,10130,-460934,-16263,12,665.8752312699926
2016,EBS_SLOPE,21740,NA,-15552,43,0
2016,EBS_SLOPE,10261,NA,-15888,11,0
2016,EBS_SLOPE,10261,NA,-16256,11,0
2002,EBS_SLOPE,10110,1133327,1130047,62,28.064591668049317
2002,EBS_SLOPE,21740,NA,1129906,45,0
2002,EBS_SLOPE,30060,1130103,1129942,12,26.64148300561112
2002,EBS_SLOPE,30060,NA,1129928,15,0
2002,EBS_SLOPE,30060,NA,1129981,14,0
2002,EBS_SLOPE,10261,NA,1129967,23,0
2004,EBS_SLOPE,10110,NA,1225450,44,0
2004,EBS_SLOPE,10130,NA,1225424,12,0
2004,EBS_SLOPE,10130,1225727,1225562,12,1064.9845695569034
2004,EBS_SLOPE,10130,NA,1225597,12,0
2004,EBS_SLOPE,10130,1233553,1225461,12,1431.121526495554
2004,EBS_SLOPE,21740,1229060,1225557,61,236.08811437996965
2004,EBS_SLOPE,21740,1228595,1225430,61,7702.341553466533
2004,EBS_SLOPE,10115,NA,1225508,54,0
2004,EBS_SLOPE,30060,NA,1225635,43,0
2004,EBS_SLOPE,30060,1229317,1225579,31,1024.138955173438
2004,EBS_SLOPE,10112,1233630,1225444,62,115.79969404331237
2004,EBS_SLOPE,10112,1226092,1225413,11,244.15189621679977
2004,EBS_SLOPE,10112,1227061,1225614,22,656.2617922040787
2004,EBS_SLOPE,21720,1234571,1225429,61,46.24717152298965
2004,EBS_SLOPE,21720,NA,1225569,53,0
2004,EBS_SLOPE,21720,NA,1225400,14,0
2004,EBS_SLOPE,10261,NA,1225615,14,0
2004,EBS_SLOPE,10261,NA,1225561,15,0
2008,EBS_SLOPE,21740,-106973,-4466,11,1382.6645937759076
2008,EBS_SLOPE,10110,-112104,-4582,63,23.832109840478342
2008,EBS_SLOPE,10110,-111511,-4570,61,974.1533633119456
2008,EBS_SLOPE,10110,-112637,-4596,24,41.10845495680817
2008,EBS_SLOPE,30060,NA,-4599,33,0
2008,EBS_SLOPE,30060,NA,-4651,12,0
2008,EBS_SLOPE,10115,NA,-4616,44,0
2008,EBS_SLOPE,10115,-109849,-4526,24,73.5496920106647
2008,EBS_SLOPE,21720,NA,-4581,64,0
2008,EBS_SLOPE,21720,-110691,-4549,61,69.67817601487657
2008,EBS_SLOPE,21720,-114149,-4639,21,201.32273060461847
2008,EBS_SLOPE,10261,-110761,-4551,61,90.25795362113105
2008,EBS_SLOPE,10261,NA,-4488,13,0
2010,EBS_SLOPE,10130,NA,-6515,55,0
2010,EBS_SLOPE,10130,NA,-7220,34,0
2010,EBS_SLOPE,21740,NA,-7233,24,0
2010,EBS_SLOPE,21740,NA,-7251,23,0
2010,EBS_SLOPE,21740,NA,-7287,14,0
2010,EBS_SLOPE,10112,-179607,-6468,62,7830.960211912593
2010,EBS_SLOPE,10112,-180741,-6495,61,1213.8643122653557
2010,EBS_SLOPE,10112,-182019,-6528,41,333.54736811370293
2010,EBS_SLOPE,10110,-182095,-6530,41,8967.728191880957
2010,EBS_SLOPE,10110,-195867,-7226,31,4142.076585316842
2010,EBS_SLOPE,10110,-196963,-7252,22,431.48620417789107
2010,EBS_SLOPE,30060,NA,-6532,43,0
2010,EBS_SLOPE,21720,-181707,-6520,41,107.48386794779196
2010,EBS_SLOPE,10261,NA,-7264,11,0
2012,EBS_SLOPE,21720,NA,-8782,63,0
2012,EBS_SLOPE,21720,NA,-8755,63,0
2012,EBS_SLOPE,21720,NA,-8821,32,0
2012,EBS_SLOPE,21720,-243586,-9312,31,1207.5656776394135
2012,EBS_SLOPE,10110,-246013,-9370,12,5067.34310306302
2012,EBS_SLOPE,21740,NA,-8743,35,0
2012,EBS_SLOPE,30060,NA,-8797,54,0
2016,EBS_SLOPE,10110,NA,-15861,44,0
2016,EBS_SLOPE,21720,NA,-15857,51,0
2016,EBS_SLOPE,21720,-447337,-15869,41,78.17193369612927
2016,EBS_SLOPE,21720,-458479,-16274,21,2242.905517317531
2016,EBS_SLOPE,10112,-447494,-15873,44,67.30417178178372
